cast_id,movie_id,name,character,order
9,1087192,Mason Thames,Hiccup,0
10,1087192,Nico Parker,Astrid,1
12,1087192,Gerard Butler,Stoick,2
13,1087192,Nick Frost,Gobber,3
15,1087192,Gabriel Howell,Snoutlout,4
14,1087192,Julian Dennison,Fishlegs,5
16,1087192,Bronwyn James,Ruffnut,6
17,1087192,Harry Trevaldwyn,Tuffnut,7
45,1087192,Murray McArthur,Hoark,8
44,1087192,Peter Serafinowicz,Spitelout,9
67,1087192,Naomi Wirthner,Gothi,10
16,1071585,Jenna Davis,M3GAN (voice),0
5,1071585,Allison Williams,Gemma,1
6,1071585,Violet McGraw,Cady,2
19,1071585,Ivanna Sakhno,AMELIA,3
17,1071585,Amie Donald,M3GAN,4
27,1071585,Brian Jordan Alvarez,Cole,5
28,1071585,Jen Van Epps,Tess,6
29,1071585,Aristotle Athari,Christian Bradley,7
24,1071585,Timm Sharp,Agent Tim Sattler,8
26,1071585,Jemaine Clement,Alton Appleton,9
48,1071585,Mayen Mehta,Naveen Tripathi,10
23,552524,Maia Kealoha,Lilo,0
25,552524,Sydney Agudong,Nani,1
18,552524,Chris Sanders,Stitch (voice),2
19,552524,Zach Galifianakis,Jumba,3
24,552524,Billy Magnussen,Pleakley,4
27,552524,Courtney B. Vance,Cobra Bubbles,5
30,552524,Amy Hill,Tūtū,6
29,552524,Tia Carrere,Mrs. Kekoa,7
28,552524,Kaipo Dudoit,David,8
39,552524,Hannah Waddingham,Grand Councilwoman (voice),9
40,552524,Jason Scott Lee,Lū'au Manager,10
2,1311031,Natsuki Hanae,Tanjiro Kamado (voice),0
4,1311031,Akari Kito,Nezuko Kamado (voice),1
3,1311031,Yoshitsugu Matsuoka,Inosuke Hashibira (voice),2
1,1311031,Hiro Shimono,Zenitsu Agatsuma (voice),3
10,1311031,Toshihiko Seki,Muzan Kibutsuji (voice),4
23,1311031,Reina Ueda,Kanao Tsuyuri (voice),5
24,1311031,Nobuhiko Okamoto,Genya Shinazugawa (voice),6
25,1311031,Takahiro Sakurai,Giyu Tomioka (voice),7
26,1311031,Katsuyuki Konishi,Tengen Uzui (voice),8
27,1311031,Kengo Kawanishi,Muichiro Tokito (voice),9
28,1311031,Saori Hayami,Shinobu Kocho (voice),10
17,1315986,Jon Voight,Sanborn,0
13,1315986,Adam Woodward,Ryder,1
18,1315986,Marton Csokas,Soach,2
19,1315986,Charlotte Vega,Morgan,3
11,1315986,Philip Winchester,Jack,4
20,1315986,Charlotte Weston,Shelly,5
15,1315986,Jeff Alexander,Timmons,6
12,1315986,Nathan Cooper,Clerk,7
10,1315986,Tim Fellingham,Roger Hammond,8
21,1315986,Anaya Yalamov,Annie Hammond,9
14,1315986,Nico Seedsman,Thug,10
16,1061474,David Corenswet,Superman,0
17,1061474,Rachel Brosnahan,Lois Lane,1
24,1061474,Nicholas Hoult,Lex Luthor,2
20,1061474,Edi Gathegi,Mr. Terrific,3
21,1061474,Nathan Fillion,Guy Gardner,4
18,1061474,Isabela Merced,Hawkgirl,5
23,1061474,María Gabriela de Faría,The Engineer,6
