movie_id,budget,revenue,runtime,genres
1087192,150000000,590844400,125,"Fantasy, Family, Action"
1071585,25000000,38655333,120,"Action, Science Fiction, Thriller"
552524,100000000,1009085726,108,"Family, Science Fiction, Comedy, Adventure"
1311031,0,49400000,0,"Animation, Action, Fantasy, Thriller"
1315986,0,0,103,"Action, Drama"
1061474,225000000,426275766,130,"Science Fiction, Adventure, Action"
1011477,45000000,105456077,94,"Action, Adventure, Drama"
1119878,0,0,113,"Action, Thriller, Drama"
1124619,20000000,0,105,"Action, Comedy"
617126,200000000,0,115,"Science Fiction, Adventure"
541671,90000000,131774389,125,"Action, Thriller, Crime"
1234821,180000000,676598113,134,"Science Fiction, Adventure, Action"
1374534,0,0,95,"Action, Comedy, Crime, Mystery"
803796,0,0,96,"Animation, Fantasy, Comedy, Music, Family, Action"
986056,180000000,382132351,127,"Action, Science Fiction, Adventure"
574475,50000000,285301495,110,"Horror, Mystery"
1058537,3200000,0,103,"Horror, Action, Fantasy, Adventure"
846422,7000000,0,107,"Action, Fantasy"
749170,0,0,113,"Action, Thriller, Comedy"
968171,0,0,78,Comedy
