movie_id,average_rating,vote_count,rating_distribution
1087192,8.091,1196,"{""7"": 1}"
1071585,7.7,456,"{""6"": 2}"
552524,7.3,1030,"{""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}"
1061474,7.4,1123,"{""6"": 2, ""7"": 2, ""8"": 2, ""9"": 1}"
1011477,7.241,528,"{""6"": 2}"
1119878,7.025,139,"{""5"": 1}"
617126,7.291,206,"{""7"": 1}"
541671,7.498,1131,"{""6"": 2, ""7"": 1, ""8"": 1, ""10"": 1}"
1234821,6.4,783,"{""5"": 4, ""6"": 1, ""7"": 1}"
803796,8.531,776,"{""7"": 1}"
986056,7.4,1972,"{""6"": 3, ""7"": 3, ""8"": 2, ""9"": 3, ""10"": 2}"
574475,7.2,1730,"{""6"": 1, ""7"": 2, ""8"": 1, ""9"": 2, ""10"": 1}"
846422,6.062,538,"{""5"": 1}"
749170,6.952,540,"{""5"": 1, ""7"": 3}"
