id,title,release_date,popularity
1087192,How to Train Your Dragon,2025-06-06,904.7178
1071585,M3GAN 2.0,2025-06-25,608.4451
552524,Lilo & Stitch,2025-05-17,565.4793
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,508.5982
1315986,Man with No Past,2025-01-13,382.1417
1061474,Superman,2025-07-09,333.5035
1011477,Karate Kid: Legends,2025-05-08,317.8487
1119878,Ice Road: Vengeance,2025-06-27,296.3004
1124619,Bride Hard,2025-06-19,315.3122
617126,The Fantastic Four: First Steps,2025-07-23,279.4076
541671,Ballerina,2025-06-04,252.489
1234821,Jurassic World Rebirth,2025-07-01,237.1881
1374534,Almost Cops,2025-07-10,219.4051
803796,KPop Demon Hunters,2025-06-20,211.4319
986056,Thunderbolts*,2025-04-30,201.3352
574475,Final Destination Bloodlines,2025-05-14,195.4472
1058537,Angels Fallen: Warriors of Peace,2024-07-09,235.2762
846422,The Old Guard 2,2025-07-01,167.3005
749170,Heads of State,2025-07-02,156.9191
968171,Sex Education Mistresses,1973-11-20,108.2958
