movie_id,budget,revenue,runtime,genres
1022789,200000000,0,97,"Animation, Family, Drama, Adventure, Comedy"
653346,160000000,359772773,145,"Science Fiction, Adventure, Action"
573435,100000000,130151244,115,"Action, Crime, Thriller, Comedy"
1001311,0,0,104,"Thriller, Horror, Action, Mystery"
823464,150000000,567156493,115,"Science Fiction, Action, Adventure"
955555,0,83410298,105,"Action, Crime, Comedy, Thriller"
929590,50000000,114097977,109,"War, Action, Drama"
626412,0,9800000,122,"Science Fiction, Action, Fantasy, Adventure"
150540,175000000,857611174,95,"Animation, Family, Adventure, Drama, Comedy"
974635,8800000,1139025,116,"Romance, Comedy, Crime"
719221,8000000,45313000,92,"Horror, Thriller"
614933,100,0,120,"Science Fiction, Action"
746036,125000000,166627315,126,"Action, Comedy"
38700,90000000,426505244,124,"Thriller, Action, Crime"
1025463,0,0,110,"Science Fiction, Action, Adventure"
1011985,80000000,539271347,94,"Animation, Action, Family, Comedy, Fantasy"
786892,168000000,144409000,149,"Action, Adventure, Science Fiction"
1263421,0,0,60,"Animation, Action"
1136318,0,0,80,War
437342,30000000,53689531,119,Horror
